,name,Gender,Eye color,Race,Hair color,Height,Publisher,Skin color,Alignment,Weight
0,A-Bomb,Male,yellow,Human,No Hair,203.0,Marvel Comics,-,good,441.0
1,Abe Sapien,Male,blue,Icthyo Sapien,No Hair,191.0,Dark Horse Comics,blue,good,65.0
2,Abin Sur,Male,blue,Ungaran,No Hair,185.0,DC Comics,red,good,90.0
3,Abomination,Male,green,Human / Radiation,No Hair,203.0,Marvel Comics,-,bad,441.0
4,Abraxas,Male,blue,Cosmic Entity,Black,-99.0,Marvel Comics,-,bad,-99.0
5,Absorbing Man,Male,blue,Human,No Hair,193.0,Marvel Comics,-,bad,122.0
6,Adam Monroe,Male,blue,-,Blond,-99.0,NBC - Heroes,-,good,-99.0
7,Adam Strange,Male,blue,Human,Blond,185.0,DC Comics,-,good,88.0
8,Agent 13,Female,blue,-,Blond,173.0,Marvel Comics,-,good,61.0
9,Agent Bob,Male,brown,Human,Brown,178.0,Marvel Comics,-,good,81.0
10,Agent Zero,Male,-,-,-,191.0,Marvel Comics,-,good,104.0
11,Air-Walker,Male,blue,-,White,188.0,Marvel Comics,-,bad,108.0
12,Ajax,Male,brown,Cyborg,Black,193.0,Marvel Comics,-,bad,90.0
13,Alan Scott,Male,blue,-,Blond,180.0,DC Comics,-,good,90.0
14,Alex Mercer,Male,-,Human,-,-99.0,Wildstorm,-,bad,-99.0
15,Alex Woolsly,Male,-,-,-,-99.0,NBC - Heroes,-,good,-99.0
16,Alfred Pennyworth,Male,blue,Human,Black,178.0,DC Comics,-,good,72.0
17,Alien,Male,-,Xenomorph XX121,No Hair,244.0,Dark Horse Comics,black,bad,169.0
18,Allan Quatermain,Male,-,-,-,-99.0,Wildstorm,-,good,-99.0
19,Amazo,Male,red,Android,-,257.0,DC Comics,-,bad,173.0
20,Ammo,Male,brown,Human,Black,188.0,Marvel Comics,-,bad,101.0
21,Ando Masahashi,Male,-,-,-,-99.0,NBC - Heroes,-,good,-99.0
22,Angel,Male,blue,-,Blond,183.0,Marvel Comics,-,good,68.0
23,Angel,Male,-,Vampire,-,-99.0,Dark Horse Comics,-,good,-99.0
24,Angel Dust,Female,yellow,Mutant,Black,165.0,Marvel Comics,-,good,57.0
25,Angel Salvadore,Female,brown,-,Black,163.0,Marvel Comics,-,good,54.0
26,Angela,Female,-,-,-,-99.0,Image Comics,-,bad,-99.0
27,Animal Man,Male,blue,Human,Blond,183.0,DC Comics,-,good,83.0
28,Annihilus,Male,green,-,No Hair,180.0,Marvel Comics,-,bad,90.0
29,Ant-Man,Male,blue,Human,Blond,211.0,Marvel Comics,-,good,122.0
30,Ant-Man II,Male,blue,Human,Blond,183.0,Marvel Comics,-,good,86.0
31,Anti-Monitor,Male,yellow,God / Eternal,No Hair,61.0,DC Comics,-,bad,-99.0
32,Anti-Spawn,Male,-,-,-,-99.0,Image Comics,-,bad,-99.0
33,Anti-Venom,Male,blue,Symbiote,Blond,229.0,Marvel Comics,-,-,358.0
34,Apocalypse,Male,red,Mutant,Black,213.0,Marvel Comics,grey,bad,135.0
35,Aquababy,Male,blue,-,Blond,-99.0,DC Comics,-,good,-99.0
36,Aqualad,Male,blue,Atlantean,Black,178.0,DC Comics,-,good,106.0
37,Aquaman,Male,blue,Atlantean,Blond,185.0,DC Comics,-,good,146.0
38,Arachne,Female,blue,Human,Blond,175.0,Marvel Comics,-,good,63.0
39,Archangel,Male,blue,Mutant,Blond,183.0,Marvel Comics,blue,good,68.0
40,Arclight,Female,violet,-,Purple,173.0,Marvel Comics,-,bad,57.0
41,Ardina,Female,white,Alien,Orange,193.0,Marvel Comics,gold,good,98.0
42,Ares,Male,brown,-,Brown,185.0,Marvel Comics,-,good,270.0
43,Ariel,Female,purple,-,Pink,165.0,Marvel Comics,-,good,59.0
44,Armor,Female,black,-,Black,163.0,Marvel Comics,-,good,50.0
